"","Creditability","Account.Balance","Duration.of.Credit..month.","Payment.Status.of.Previous.Credit","Purpose","Credit.Amount","Value.Savings.Stocks","Length.of.current.employment","Instalment.per.cent","Sex...Marital.Status","Guarantors","Duration.in.Current.address","Most.valuable.available.asset","Age..years.","Concurrent.Credits","Type.of.apartment","No.of.Credits.at.this.Bank","Occupation","No.of.dependents","Telephone"
"4",1,1,12,4,"3",2122,1,2,3,"2","1",2,1,39,2,"1",2,"1",2,1
"606",1,1,15,4,"2",975,1,2,2,"1","1",3,2,25,2,"2",2,"2",1,1
"357",1,1,24,2,"1",2924,1,2,3,"2","2",4,4,63,1,"2",1,"2",2,2
"969",0,1,45,2,"2",1845,1,2,4,"2","1",4,4,23,2,"3",1,"2",1,2
"527",1,1,12,2,"2",701,1,2,4,"3","1",2,1,40,2,"2",1,"1",1,1
"620",1,2,12,4,"3",958,1,3,2,"2","1",3,1,47,2,"2",2,"1",2,1
"477",1,3,18,2,"2",3422,1,4,4,"2","1",4,2,47,1,"2",2,"2",2,2
"446",1,3,12,2,"2",1574,1,2,4,"2","1",2,1,50,2,"2",1,"2",1,1
"491",1,3,18,2,"2",2051,1,1,4,"2","1",1,1,33,2,"2",1,"2",1,1
"746",1,3,6,2,"2",1766,1,2,1,"3","1",2,2,21,2,"1",1,"2",1,1
"964",0,1,24,2,"2",3234,1,1,4,"1","1",4,1,23,2,"1",1,"1",1,2
"28",1,2,9,4,"2",1154,1,4,2,"2","1",4,1,37,2,"2",2,"1",1,1
"360",1,3,15,4,"3",5045,3,4,1,"1","1",4,3,59,2,"2",1,"2",1,2
"584",0,1,12,2,"2",741,1,1,4,"1","1",3,2,22,2,"2",1,"2",1,1
"35",1,1,15,2,"3",1721,1,1,2,"2","1",3,1,36,2,"2",1,"2",1,1
"889",0,1,24,2,"2",2439,1,1,4,"1","1",4,1,35,2,"2",1,"2",1,2
"653",1,2,12,2,"3",754,3,4,4,"2","1",4,2,38,2,"2",2,"2",1,1
"970",0,1,21,1,"3",1647,3,2,4,"2","1",2,2,40,1,"2",2,"1",2,1
"419",1,3,18,4,"2",1169,3,2,4,"2","1",3,2,29,2,"2",2,"2",1,2
"386",1,2,9,2,"2",458,1,2,4,"2","1",3,1,24,2,"2",1,"2",1,1
"97",1,2,12,4,"2",3573,1,2,1,"1","1",1,1,23,2,"2",1,"1",1,1
"559",1,3,24,2,"1",5433,3,1,2,"1","1",4,2,26,2,"1",1,"3",1,2
"726",1,2,18,2,"1",2779,1,2,1,"3","1",3,3,21,2,"1",1,"2",1,2
"919",0,1,48,0,"1",4605,1,4,3,"2","1",4,4,24,2,"3",2,"2",2,1
"660",1,2,6,2,"2",590,1,1,3,"3","1",3,1,26,2,"2",1,"1",1,1
"479",1,3,12,4,"3",2748,1,4,2,"1","1",4,4,57,1,"3",2,"1",1,1
"711",1,3,24,2,"3",3757,1,4,4,"1","2",4,4,62,2,"3",1,"2",1,2
"120",1,3,24,2,"2",3062,2,4,4,"2","1",3,4,32,2,"1",1,"2",1,2
"434",1,2,18,4,"3",1887,3,2,4,"3","1",4,1,28,1,"2",2,"2",1,1
